site,year,month,Tave,Tmin,Tmax,ppt,rs.ppt
Oyen,2017,12,-9.845532258,-14.54031183,-5.150752688,1.366666667,1.366666667
Oyen,2018,1,-10.7713172,-17.02411828,-4.518516129,2.633333333,2.633333333
Oyen,2018,2,-16.86016071,-23.08119048,-10.63913095,5.3,5.3
Oyen,2018,3,-7.37638172,-12.76190323,-1.990860215,19.8,19.8
Oyen,2018,4,0.442894444,-6.157466667,7.043255556,1.966666667,1.966666667
Oyen,2018,5,13.93529032,6.031817204,21.83876344,17.3,9.515
Oyen,2018,6,15.93187778,8.585755556,23.278,71.66666667,39.41666667
Oyen,2018,7,17.66168817,9.650150538,25.67322581,41.6,22.88
Oyen,2018,8,16.97905376,8.751010753,25.20709677,18.86666667,10.37666667
Oyen,2018,9,7.397855556,2.011233333,12.78447778,36.33333333,19.98333333
Oyen,2018,10,2.990865591,-3.61411828,9.595849462,14.33333333,14.33333333
Oyen,2018,11,-4.542272222,-9.385066667,0.300522222,13.3,13.3
Oyen,2018,12,-7.267876344,-12.01591398,-2.51983871,9,9
Oyen,2019,1,-9.06033871,-14.5345914,-3.586086022,5.833333333,5.833333333
Oyen,2019,2,-21.96524405,-27.41488095,-16.51560714,9.433333333,9.433333333
Oyen,2019,3,-4.961188172,-11.67129032,1.748913978,1.033333333,1.033333333
Oyen,2019,4,5.083961111,-2.704144444,12.87206667,9.633333333,9.633333333
Oyen,2019,5,9.253467742,0.862247312,17.64468817,3,1.65
Oyen,2019,6,14.8374,7.471133333,22.20366667,53,29.15
Oyen,2019,7,17.13582796,9.899182796,24.37247312,77.16666667,42.44166667
Oyen,2019,8,15.7274086,8.136537634,23.31827957,16.03333333,8.818333333
Oyen,2019,9,11.62003889,5.228766667,18.01131111,46.16666667,25.39166667
Oyen,2019,10,1.650258065,-5.136086022,8.436602151,9.633333333,9.633333333
Oyen,2019,11,-4.147455556,-9.153377778,0.858466667,17.1,17.1
Oyen,2019,12,-9.053645161,-13.76826882,-4.339021505,4.433333333,4.433333333
Sangudo,2016,1,-9.437903226,-15.01115054,-3.864655914,7.186666667,7.186666667
Sangudo,2016,2,-2.399235632,-7.911252874,3.112781609,13.36666667,13.36666667
Sangudo,2016,3,1.139263441,-4.06988172,6.348408602,17.13333333,17.13333333
Sangudo,2016,4,7.782311111,0.452988889,15.11163333,4,4
Sangudo,2016,5,10.24933871,2.428741935,18.06993548,113.9666667,62.68166667
Sangudo,2016,6,15.28171667,8.416322222,22.14711111,66.06666667,36.33666667
Sangudo,2016,7,16.77841935,10.1903871,23.36645161,60.3,33.165
Sangudo,2016,8,15.74579032,9.388784946,22.1027957,142.8333333,78.55833333
Sangudo,2016,9,10.20211667,3.721011111,16.68322222,42.3,23.265
Sangudo,2016,10,1.117091398,-2.464086022,4.698268817,60.46666667,60.46666667
Sangudo,2016,11,0.190627778,-4.060577778,4.441833333,8.233333333,8.233333333
Sangudo,2016,12,-12.74577419,-17.4248172,-8.066731183,9.266666667,9.266666667
Sangudo,2017,1,-8.573822581,-13.50777419,-3.639870968,6.633333333,6.633333333
Sangudo,2017,2,-7.839369048,-13.24458333,-2.434154762,14.5,14.5
Sangudo,2017,3,-5.836365591,-11.95139785,0.278666667,18.3,18.3
Sangudo,2017,4,2.755466667,-1.650533333,7.161466667,67.46666667,67.46666667
