site,MAT,year,month,ppt,Tmax,Tmin,Tave,rs.ppt
Onefour,3.5,1965,6,143,21.4,8.2,14.8,143
Mattheis,2.1,1965,6,100,21.2,8.6,14.9,100
Oyen,1.1,1965,6,84,20.7,8.3,14.5,84
Twinriver,3.7,1965,6,169,18.8,6,12.4,169
Kinsella,0.6,1965,6,129,19.1,8.3,13.7,129
Stavely,2.5,1965,6,185,16.9,4.3,10.6,185
Sangudo,1.1,1965,6,175,19.1,6.6,12.8,175
Onefour,4.1,1966,6,74,21.7,7.9,14.8,74
Mattheis,2.4,1966,6,65,21,8.1,14.5,65
Oyen,1.4,1966,6,89,20,7.5,13.8,89
Twinriver,4.4,1966,6,128,18.9,5.9,12.4,128
Kinsella,0.7,1966,6,32,19.3,6.8,13.1,32
Stavely,2.9,1966,6,84,17.2,4.2,10.7,84
Sangudo,0.7,1966,6,46,18.5,5.5,12,46
Onefour,4.7,1967,6,20,22.4,7.2,14.8,20
Mattheis,3.3,1967,6,50,21.5,7.6,14.6,50
Oyen,2.1,1967,6,70,20.6,6.9,13.7,70
Twinriver,4.8,1967,6,63,19.2,6,12.6,63
Kinsella,1.5,1967,6,64,19.1,6.6,12.9,64
Stavely,3.4,1967,6,74,17.4,4.5,11,74
Sangudo,1.9,1967,6,43,19.8,6,12.9,43
Onefour,4.6,1968,6,61,21.7,7.9,14.8,61
Mattheis,4,1968,6,73,21.7,8.5,15.1,73
Oyen,3.2,1968,6,53,21.5,7.7,14.6,53
Twinriver,4.5,1968,6,87,19.4,6.5,12.9,87
Kinsella,2.2,1968,6,50,20.4,7.5,14,50
Stavely,3.1,1968,6,114,17.4,4.5,10.9,114
Sangudo,1.7,1968,6,76,19.3,5.9,12.6,76
Onefour,3.8,1969,6,58,22.2,7,14.6,58
Mattheis,2.5,1969,6,46,23,7.8,15.4,46
Oyen,1.4,1969,6,17,22.2,6.7,14.5,17
Twinriver,3.9,1969,6,142,19.2,6.4,12.8,142
Kinsella,1,1969,6,17,21.3,6.2,13.7,17
Stavely,2.7,1969,6,204,17.7,5.2,11.5,204
Sangudo,1.1,1969,6,30,21.5,6.4,14,30
Onefour,3.9,1970,6,121,26.5,10.8,18.6,121
Mattheis,2.6,1970,6,147,25.9,11.2,18.5,147
Oyen,1.5,1970,6,114,25.2,10.8,18,114
Twinriver,4.2,1970,6,103,23.7,9.2,16.5,103
Kinsella,1,1970,6,128,23.8,11.1,17.5,128
Stavely,3,1970,6,160,21.8,7.5,14.6,160
Sangudo,1.1,1970,6,74,22.7,8.9,15.8,74
Onefour,4.3,1971,6,67,23.2,8,15.6,67
Mattheis,2.8,1971,6,35,22.6,8.2,15.4,35
Oyen,1.7,1971,6,42,21.9,8.1,15,42
Twinriver,4.2,1971,6,69,19.9,6.3,13.1,69
Kinsella,1.2,1971,6,82,19.7,8.4,14,82
Stavely,2.9,1971,6,91,18.1,5,11.5,91
Sangudo,1.3,1971,6,142,18.5,7.5,13,142
Onefour,3.6,1972,6,45,25.6,9.9,17.8,45
Mattheis,2,1972,6,53,24,9.7,16.9,53
Oyen,1.3,1972,6,45,23.5,9.4,16.4,45
Twinriver,3.3,1972,6,46,22.1,7.8,15,46
Kinsella,0.4,1972,6,74,21.5,9.1,15.3,74
Stavely,1.8,1972,6,58,19.5,5.9,12.7,58
Sangudo,0.5,1972,6,120,19.9,7.9,13.9,120
Onefour,5.5,1973,6,59,23.9,8.6,16.2,59
Mattheis,3.6,1973,6,111,22.8,8.5,15.6,111
Oyen,2.8,1973,6,136,22.2,8.2,15.2,136
Twinriver,5.3,1973,6,50,21,7.1,14.1,50
Kinsella,1.8,1973,6,180,20.6,8.3,14.5,180
Stavely,3.6,1973,6,75,18.7,4.9,11.8,75
Sangudo,1.7,1973,6,141,19.7,6.7,13.2,141
Onefour,5.8,1974,6,24,26,9.6,17.8,24
Mattheis,3.7,1974,6,36,25.4,9.8,17.6,36
Oyen,2.5,1974,6,50,23.3,9.4,16.4,50
Twinriver,5.7,1974,6,25,24,8.4,16.2,25
Kinsella,1.8,1974,6,111,21.3,9.5,15.4,111
Stavely,3.9,1974,6,49,21.1,6,13.6,49
Sangudo,1.8,1974,6,83,21.1,7.1,14.1,83
Onefour,3.7,1975,6,94,21.3,7.9,14.6,94
Mattheis,2.3,1975,6,75,21.4,8.3,14.8,75
Oyen,1.5,1975,6,91,20.5,7.9,14.2,91
Twinriver,3.5,1975,6,155,18.8,6.2,12.5,155
Kinsella,1.1,1975,6,76,19.7,7.7,13.7,76
Stavely,2.3,1975,6,119,17.3,4.5,10.9,119
Sangudo,1.5,1975,6,115,19.4,6.4,12.9,115
Onefour,6.4,1976,6,95,21.1,7.7,14.4,95
Mattheis,4.9,1976,6,61,21.3,7.3,14.3,61
Oyen,4,1976,6,78,20.8,7.4,14.1,78
Twinriver,6.1,1976,6,73,18,5.4,11.7,73
Kinsella,3.5,1976,6,128,18.9,7,12.9,128
Stavely,4.6,1976,6,83,16.2,3.4,9.8,83
Sangudo,3.6,1976,6,96,18.4,5.4,11.9,96
Onefour,5.3,1977,6,28,25.5,9.8,17.6,28
Mattheis,4.2,1977,6,27,25.8,9.3,17.5,27
Oyen,3.3,1977,6,21,24.6,8.6,16.6,21
Twinriver,5.1,1977,6,33,23.2,7.7,15.5,33
Kinsella,2.6,1977,6,26,22.7,8.3,15.5,26
Stavely,3.6,1977,6,46,21.4,5.7,13.5,46
Sangudo,2.8,1977,6,52,21.2,6.9,14,52
Onefour,3.3,1978,6,38,24.4,8.8,16.6,38
Mattheis,2.6,1978,6,63,24.1,8.9,16.5,63
Oyen,2,1978,6,48,23.7,8.5,16.1,48
Twinriver,3.2,1978,6,31,21.9,6.9,14.4,31
Kinsella,1.7,1978,6,53,22.1,8.7,15.4,53
Stavely,2.4,1978,6,46,20,5.5,12.8,46
Sangudo,2.1,1978,6,72,22.1,8,15,72
Onefour,4.2,1979,6,37,25.2,7.6,16.4,37
Mattheis,3.2,1979,6,43,24.3,8.1,16.2,43
Oyen,2.3,1979,6,69,23.2,7.7,15.5,69
Twinriver,4.5,1979,6,39,21.9,6.5,14.2,39
Kinsella,1.6,1979,6,114,20.5,7.9,14.2,114
Stavely,3.2,1979,6,27,20.1,5.2,12.7,27
Sangudo,1.9,1979,6,113,20.3,7.2,13.8,113
Onefour,5.3,1980,6,72,23.3,8.5,15.9,72
Mattheis,3.8,1980,6,64,22.8,9.2,16,64
Oyen,3,1980,6,86,22,9,15.5,86
Twinriver,5,1980,6,75,20.3,6.9,13.6,75
Kinsella,2.3,1980,6,119,20.6,9.2,14.9,119
Stavely,3.6,1980,6,77,18.1,5.6,11.9,77
Sangudo,2.5,1980,6,152,19.9,8.6,14.3,152
Onefour,6.8,1981,6,47,21.4,6.6,14,47
Mattheis,5.9,1981,6,63,21.6,7.3,14.4,63
Oyen,5.2,1981,6,71,20.9,6.9,13.9,71
Twinriver,6.5,1981,6,81,18.6,5.5,12.1,81
Kinsella,4.6,1981,6,32,20.5,6.8,13.6,32
Stavely,5.2,1981,6,116,16.4,3.9,10.2,116
Sangudo,4.4,1981,6,78,19,5.9,12.5,78
Onefour,3.2,1982,6,34,23.3,8.7,16,34
Mattheis,2.1,1982,6,58,23.5,9,16.3,58
Oyen,1,1982,6,40,22.9,8.3,15.6,40
Twinriver,3.1,1982,6,59,21,7,14,59
Kinsella,0.2,1982,6,56,22.2,8.3,15.2,56
Stavely,1.9,1982,6,135,19,5.9,12.4,135
Sangudo,0.6,1982,6,31,22.3,8.1,15.2,31
Onefour,5.3,1983,6,51,23.1,8,15.6,51
Mattheis,4.1,1983,6,69,22.4,9.3,15.9,69
Oyen,3,1983,6,94,21.8,8.7,15.3,94
Twinriver,5.3,1983,6,42,20.3,6.8,13.5,42
Kinsella,2.1,1983,6,145,19.9,8.1,14,145
Stavely,3.7,1983,6,54,17.7,5.6,11.6,54
Sangudo,2.3,1983,6,132,19.5,7.1,13.3,132
Onefour,5.4,1984,6,20,23.8,7.8,15.8,20
Mattheis,3.9,1984,6,62,23,8.9,16,62
Oyen,3,1984,6,83,21.8,8.5,15.2,83
Twinriver,5.2,1984,6,51,21,6.6,13.8,51
Kinsella,2.4,1984,6,88,20.4,8.5,14.4,88
Stavely,3.5,1984,6,90,18.7,5,11.9,90
Sangudo,2.6,1984,6,97,20,7,13.5,97
Onefour,3.9,1985,6,5,23.5,6.6,15,5
Mattheis,2.9,1985,6,23,23.2,6.5,14.8,23
Oyen,2,1985,6,22,21.3,5.7,13.5,22
Twinriver,3.9,1985,6,10,21.4,5.1,13.2,10
Kinsella,1.7,1985,6,80,19,5.8,12.4,80
Stavely,2.5,1985,6,23,19.2,3.7,11.4,23
Sangudo,2.1,1985,6,108,19.3,5.1,12.2,108
Onefour,6.1,1986,6,63,25.8,10.5,18.1,63
Mattheis,5,1986,6,46,24.4,9.9,17.2,46
Oyen,4,1986,6,71,23,8.9,16,71
Twinriver,6,1986,6,54,23.5,8.6,16.1,54
Kinsella,3.1,1986,6,56,20.8,8.5,14.7,56
Stavely,4.5,1986,6,65,20.6,6.7,13.7,65
Sangudo,3.2,1986,6,69,20.7,6.9,13.8,69
Onefour,7.5,1987,6,39,26.3,9.9,18.1,39
Mattheis,6.6,1987,6,34,26.6,10.6,18.6,34
Oyen,5.7,1987,6,30,25.8,10.2,18,30
Twinriver,7.2,1987,6,38,23.8,8.4,16.1,38
Kinsella,4.7,1987,6,35,23.7,9.7,16.7,35
Stavely,5.8,1987,6,48,21.7,6.9,14.3,48
Sangudo,4.8,1987,6,54,22.2,8.3,15.3,54
Onefour,6.6,1988,6,42,29.4,11.8,20.6,42
Mattheis,5.3,1988,6,95,26.7,11.4,19.1,95
Oyen,4.4,1988,6,68,27.5,11.8,19.7,68
Twinriver,6.5,1988,6,53,25.5,9.3,17.4,53
Kinsella,3.9,1988,6,126,24,10.8,17.4,126
Stavely,4.8,1988,6,69,21.5,7.3,14.4,69
Sangudo,3.8,1988,6,129,21.1,8.6,14.8,129
Onefour,4.7,1989,6,58,24,8.7,16.4,58
Mattheis,3.6,1989,6,38,24.4,9.2,16.8,38
Oyen,2.6,1989,6,45,23.6,8.5,16,45
Twinriver,4.5,1989,6,114,21.4,7.1,14.3,114
Kinsella,2.3,1989,6,90,21.2,8.6,14.9,90
Stavely,3.1,1989,6,59,20,5.7,12.8,59
Sangudo,2.4,1989,6,105,20.6,7.6,14.1,105
Onefour,5.8,1990,6,22,23.6,8.3,15.9,22
Mattheis,4.3,1990,6,49,22.4,8.7,15.5,49
Oyen,3.4,1990,6,68,22.4,8.5,15.5,68
Twinriver,5.3,1990,6,46,20.7,6.5,13.6,46
Kinsella,2.6,1990,6,73,21.6,8.5,15.1,73
Stavely,3.8,1990,6,43,18.9,5,11.9,43
Sangudo,2.6,1990,6,72,20.2,7.6,13.9,72
Onefour,5.9,1991,6,93,21.8,8.7,15.2,93
Mattheis,4.7,1991,6,120,21.6,9.1,15.4,120
Oyen,3.9,1991,6,135,21.3,9.2,15.3,135
Twinriver,5.8,1991,6,160,18.8,6.4,12.6,160
Kinsella,3.4,1991,6,89,20.1,8.8,14.5,89
Stavely,4.2,1991,6,138,16.9,4.8,10.8,138
Sangudo,3.3,1991,6,84,18.9,7.1,13,84
Onefour,6.4,1992,6,60,24.9,9.7,17.3,60
Mattheis,4.7,1992,6,75,22.8,10.2,16.5,75
Oyen,3.8,1992,6,48,22.1,9.1,15.6,48
Twinriver,6.1,1992,6,106,22.3,8.1,15.2,106
Kinsella,3.2,1992,6,25,21.9,8.9,15.4,25
Stavely,4.5,1992,6,209,19.5,6.6,13.1,209
Sangudo,3.3,1992,6,41,21.9,8.2,15,41
Onefour,4.3,1993,6,96,21.3,8.1,14.7,96
Mattheis,3.4,1993,6,97,21.6,7.9,14.7,97
Oyen,2.7,1993,6,115,20.8,7.6,14.2,115
Twinriver,4.3,1993,6,115,18.5,6.1,12.3,115
Kinsella,2.6,1993,6,90,19.6,7.2,13.4,90
Stavely,3.1,1993,6,139,17.1,4.3,10.7,139
Sangudo,3.2,1993,6,109,19.6,6.5,13.1,109
Onefour,5.6,1994,6,76,23.2,8.4,15.8,76
Mattheis,3.9,1994,6,68,22.2,8.6,15.4,68
Oyen,3.1,1994,6,83,21.5,8.7,15.1,83
Twinriver,5.5,1994,6,66,21.4,6.5,13.9,66
Kinsella,2.1,1994,6,105,20.1,8.5,14.3,105
Stavely,3.8,1994,6,76,18.7,4.4,11.5,76
Sangudo,2.3,1994,6,119,19.6,7.5,13.6,119
Onefour,4.8,1995,6,136,22.8,8.7,15.8,136
Mattheis,3.1,1995,6,37,24.1,9,16.5,37
Oyen,2.4,1995,6,53,23.6,9.1,16.3,53
Twinriver,4.6,1995,6,166,19.9,6.5,13.2,166
Kinsella,1.8,1995,6,44,22.8,9,15.9,44
Stavely,3.2,1995,6,149,18.5,5.4,11.9,149
Sangudo,1.9,1995,6,102,21.1,8,14.6,102
Onefour,3.1,1996,6,60,24.4,8.7,16.5,60
Mattheis,1.6,1996,6,52,23,8.8,15.9,52
Oyen,0.8,1996,6,76,21.3,8.4,14.8,76
Twinriver,3.1,1996,6,66,21.6,7,14.3,66
Kinsella,0.2,1996,6,103,19.6,8.4,14,103
Stavely,1.5,1996,6,73,18.8,4.9,11.9,73
Sangudo,0.3,1996,6,124,18.6,6.8,12.7,124
Onefour,5.7,1997,6,47,23.7,9.6,16.6,47
Mattheis,4.3,1997,6,59,23.2,9.6,16.4,59
Oyen,3.6,1997,6,75,22.6,9.5,16.1,75
Twinriver,5.4,1997,6,87,20.3,7.6,13.9,87
Kinsella,3.2,1997,6,138,20.8,9.9,15.4,138
Stavely,4.2,1997,6,77,18.2,5.9,12.1,77
Sangudo,3.2,1997,6,153,19.7,8.2,13.9,153
Onefour,6.7,1998,6,95,20.9,7.8,14.3,95
Mattheis,5.2,1998,6,119,21.9,8.7,15.3,119
Oyen,4.5,1998,6,101,21.4,8,14.7,101
Twinriver,6.1,1998,6,106,17.9,6.3,12.1,106
Kinsella,3.7,1998,6,63,21.3,8.1,14.7,63
Stavely,4.7,1998,6,211,16.5,5.4,11,211
Sangudo,3.6,1998,6,110,20.7,7.4,14.1,110
Onefour,6.7,1999,6,76,22,8,15,76
Mattheis,5.1,1999,6,100,21.2,7.5,14.4,100
Oyen,4.1,1999,6,79,20.8,7.4,14.1,79
Twinriver,6.4,1999,6,96,19.1,6,12.6,96
Kinsella,3.3,1999,6,33,20.3,7.1,13.7,33
Stavely,4.7,1999,6,112,16.8,4.1,10.5,112
Sangudo,3.2,1999,6,66,19.3,6.2,12.8,66
Onefour,5.3,2000,6,42,22.6,7.6,15.1,42
Mattheis,3.6,2000,6,53,22.2,7.5,14.9,53
Oyen,2.7,2000,6,55,21.3,7.1,14.2,55
Twinriver,5,2000,6,47,20.5,5.7,13.1,47
Kinsella,2.2,2000,6,65,19.6,7,13.3,65
Stavely,3.4,2000,6,77,18.3,4,11.1,77
Sangudo,2.3,2000,6,108,19.2,6.4,12.8,108
Onefour,6.4,2001,6,38,23.7,8.4,16,38
Mattheis,5.2,2001,6,45,22.6,8.2,15.4,45
Oyen,4.2,2001,6,59,21.6,7.7,14.6,59
Twinriver,6,2001,6,66,20.9,6.3,13.6,66
Kinsella,3.6,2001,6,85,19.4,7.2,13.3,85
Stavely,4.6,2001,6,98,17.4,4.4,10.9,98
Sangudo,3.7,2001,6,68,19,6.9,12.9,68
Onefour,4.7,2002,6,119,22.9,9.1,16,119
Mattheis,3.8,2002,6,93,23.9,9.7,16.8,93
Oyen,3,2002,6,71,23.7,9.5,16.6,71
Twinriver,4.5,2002,6,157,20.7,7.3,14,157
Kinsella,2.3,2002,6,17,24.8,8.8,16.8,17
Stavely,3.3,2002,6,157,19,5.5,12.3,157
Sangudo,2.5,2002,6,32,23.4,7.2,15.3,32
Onefour,5.6,2003,6,58,22.8,8.8,15.8,58
Mattheis,4.1,2003,6,58,22.1,9.2,15.7,58
Oyen,3.5,2003,6,70,21,8.5,14.8,70
Twinriver,5.6,2003,6,48,20.7,7.2,13.9,48
Kinsella,2.4,2003,6,73,19.6,7.8,13.7,73
Stavely,4.3,2003,6,78,19.2,5.3,12.3,78
Sangudo,2.7,2003,6,65,20,7.3,13.6,65
Onefour,5.5,2004,6,46,21.3,6.9,14.1,46
Mattheis,4.2,2004,6,54,21.8,7.5,14.6,54
Oyen,3.4,2004,6,56,20.7,6.9,13.8,56
Twinriver,5.7,2004,6,60,19.4,5.8,12.6,60
Kinsella,2.5,2004,6,52,19.7,6.7,13.2,52
Stavely,4.4,2004,6,96,17.9,4.6,11.3,96
Sangudo,3,2004,6,49,20.6,6.9,13.7,49
Onefour,5.8,2005,6,117,21.4,8.9,15.1,117
Mattheis,4.7,2005,6,185,20,8.9,14.5,185
Oyen,3.8,2005,6,160,19.1,8.8,13.9,160
Twinriver,5.6,2005,6,183,18.3,6.6,12.5,183
Kinsella,3.3,2005,6,90,18.6,8.8,13.7,90
Stavely,4.3,2005,6,317,15.8,4.9,10.4,317
Sangudo,3.8,2005,6,106,19.2,7.7,13.4,106
Onefour,6.7,2006,6,68,24,9.9,16.9,68
Mattheis,5.4,2006,6,94,23.4,10.5,16.9,94
Oyen,4.6,2006,6,83,22.7,10,16.3,83
Twinriver,6.3,2006,6,100,21.1,8.4,14.7,100
Kinsella,3.5,2006,6,63,21.8,9.7,15.8,63
Stavely,5,2006,6,139,19.1,6.8,13,139
Sangudo,3.8,2006,6,65,21.8,9.1,15.5,65
Onefour,6.2,2007,6,51,24.3,8.6,16.4,51
Mattheis,4.8,2007,6,81,23.6,9.2,16.4,81
Oyen,3.9,2007,6,105,22.2,8.9,15.5,105
Twinriver,6,2007,6,26,21.5,6.9,14.2,26
Kinsella,2.7,2007,6,105,20.5,9.3,14.9,105
Stavely,4.4,2007,6,75,19.2,5.5,12.4,75
Sangudo,3.1,2007,6,102,20.6,8.1,14.3,102
Onefour,4.8,2008,6,62,22.1,7.2,14.7,62
Mattheis,3.7,2008,6,73,21.6,7.7,14.7,73
Oyen,2.8,2008,6,100,21.1,7.7,14.4,100
Twinriver,4.8,2008,6,94,20,6.1,13,94
Kinsella,2.3,2008,6,73,20.8,8.2,14.5,73
Stavely,3.6,2008,6,108,18.5,4.4,11.4,108
Sangudo,2.7,2008,6,48,20.1,7.1,13.6,48
Onefour,4.4,2009,6,62,22.3,6.2,14.2,62
Mattheis,3.1,2009,6,36,23,6.8,14.9,36
Oyen,2.6,2009,6,30,22,6.9,14.4,30
Twinriver,4.5,2009,6,46,19.9,5.1,12.5,46
Kinsella,1.5,2009,6,42,20.4,6.1,13.2,42
Stavely,3.1,2009,6,59,18.3,3.6,10.9,59
Sangudo,2,2009,6,40,20.6,5.8,13.2,40
Onefour,4.4,2010,6,82,21.6,8.1,14.8,82
Mattheis,3.7,2010,6,97,21.1,8.3,14.7,97
Oyen,3.1,2010,6,113,20.6,8.7,14.6,113
Twinriver,4.8,2010,6,118,19.1,6.7,12.9,118
Kinsella,2.7,2010,6,82,20.4,8.4,14.4,82
Stavely,3.8,2010,6,77,17.7,4.7,11.2,77
Sangudo,3.1,2010,6,54,20.8,6.6,13.7,54
Onefour,4.8,2011,6,108,21.2,8,14.6,108
Mattheis,3.5,2011,6,88,21,8.5,14.7,88
Oyen,3.1,2011,6,81,20.6,8.1,14.4,81
Twinriver,4.6,2011,6,96,18.2,6.8,12.5,96
Kinsella,2.5,2011,6,136,19.6,8.6,14.1,136
Stavely,3.2,2011,6,87,17,5,11,87
Sangudo,2.8,2011,6,173,19,7.1,13.1,173
Onefour,6.2,2012,6,106,22.7,8.8,15.8,106
Mattheis,4.4,2012,6,148,22.5,8.9,15.7,148
Oyen,3.7,2012,6,161,22,8.8,15.4,161
Twinriver,5.7,2012,6,96,19.4,7.1,13.3,96
Kinsella,2.9,2012,6,92,21.5,8.6,15,92
Stavely,4.3,2012,6,167,17.7,5.4,11.6,167
Sangudo,3,2012,6,60,20.6,8.2,14.4,60
Onefour,5.3,2013,6,105,22.8,8.8,15.8,105
Mattheis,3.5,2013,6,85,21.8,9,15.4,85
Oyen,2.5,2013,6,108,20.9,9.3,15.1,108
Twinriver,5.4,2013,6,100,19.9,7,13.4,100
Kinsella,2.1,2013,6,88,19.6,9.5,14.5,88
Stavely,4.1,2013,6,132,18.6,5.2,11.9,132
Sangudo,3.2,2013,6,74,19.7,8.4,14,74
Onefour,4.9,2014,6,87,20.6,6.7,13.7,87
Mattheis,3.4,2014,6,86,20.7,7.4,14.1,86
Oyen,2.6,2014,6,93,20.1,7.3,13.7,93
Twinriver,4.7,2014,6,158,18.1,6.1,12.1,158
Kinsella,2.1,2014,6,112,19.3,8.2,13.7,112
Stavely,3.6,2014,6,159,17.8,5.1,11.4,159
Sangudo,2.7,2014,6,55,20.4,7.1,13.8,55
Onefour,6.6,2015,6,20,27.1,9.2,18.2,20
Mattheis,5.2,2015,6,32,25.1,9.2,17.1,32
Oyen,4.6,2015,6,42,24.1,9.3,16.7,42
Twinriver,6.5,2015,6,18,24.5,7.9,16.2,18
Kinsella,3.8,2015,6,45,22.8,9.1,15.9,45
Stavely,5.4,2015,6,53,22.1,6.3,14.2,53
Sangudo,4.5,2015,6,42,22.9,8.4,15.7,42
Onefour,6.5,2016,6,65,25.2,8.4,16.8,65
Mattheis,5.3,2016,6,51,24.6,8.9,16.8,51
Oyen,4.8,2016,6,82,23.3,9.1,16.2,82
Twinriver,6.3,2016,6,52,22.6,7.2,14.9,52
Kinsella,4.3,2016,6,64,22.3,9.3,15.8,64
Stavely,5.2,2016,6,50,21.5,5.7,13.6,50
Sangudo,4.5,2016,6,96,21.9,8.7,15.3,96
Onefour,5.6,2017,6,50,24.6,8.4,16.5,50
Mattheis,4.4,2017,6,62,23.7,8.8,16.3,62
Oyen,3.8,2017,6,66,22.6,8.6,15.6,66
Twinriver,5.3,2017,6,70,21.6,7.7,14.7,70
Kinsella,3,2017,6,89,20.6,9.1,14.8,89
Stavely,4.1,2017,6,63,20.6,6,13.3,63
Sangudo,3.4,2017,6,104,20.9,8.5,14.7,104
Onefour,4.2,2018,6,54,23.6,8.9,16.2,54
Mattheis,3.1,2018,6,70,24.3,8.9,16.6,70
Oyen,2.7,2018,6,82,23.4,9,16.2,82
Twinriver,4.5,2018,6,68,20.8,7.5,14.1,68
Kinsella,2.1,2018,6,68,22.5,8.9,15.7,68
Stavely,3.4,2018,6,76,19.8,5.9,12.9,76
Sangudo,2.7,2018,6,76,21.7,8,14.8,76
Onefour,3.6,2019,6,49,23.5,7.5,15.5,49
Mattheis,2.7,2019,6,47,23.6,8,15.8,47
Oyen,2.3,2019,6,65,22.4,7.8,15.1,65
Twinriver,3.6,2019,6,32,21,6.5,13.7,32
Kinsella,1.6,2019,6,115,20.1,8.3,14.2,115
Stavely,2.6,2019,6,68,19.7,5,12.4,68
Sangudo,2.1,2019,6,139,19.1,7.6,13.3,139
Onefour,5.4,1901,7,31,28.6,11.4,20,31
Mattheis,4.1,1901,7,50,26.3,10.9,18.6,50
Oyen,3.3,1901,7,69,25.1,10.9,18,69
Twinriver,5,1901,7,23,25.1,8.2,16.6,23
Kinsella,2.4,1901,7,123,22.6,10.3,16.5,123
Stavely,3.6,1901,7,50,22.4,6.7,14.5,50
Sangudo,2.5,1901,7,172,22,9.3,15.6,172
Onefour,4.4,1902,7,63,25.3,9.8,17.5,63
Mattheis,3.3,1902,7,72,25.3,10.2,17.7,72
Oyen,2.6,1902,7,71,24,9.5,16.7,71
Twinriver,4.1,1902,7,79,22.1,7.2,14.7,79
Kinsella,1.7,1902,7,76,22.4,9.2,15.8,76
Stavely,2.8,1902,7,92,20.9,6.4,13.7,92
Sangudo,2,1902,7,108,22.2,8.2,15.2,108
Onefour,4.7,1903,7,51,25.3,10,17.7,51
Mattheis,3.5,1903,7,41,24.9,10.2,17.6,41
Oyen,2.5,1903,7,59,23.3,9.7,16.5,59
Twinriver,4.4,1903,7,52,22.5,7.5,15,52
Kinsella,1.8,1903,7,105,20.8,9.2,15,105
Stavely,3,1903,7,84,20.6,5.9,13.3,84
Sangudo,1.9,1903,7,114,20.5,8.3,14.4,114
Onefour,4.7,1904,7,17,29,10.4,19.7,17
Mattheis,3.3,1904,7,27,27.7,9.9,18.8,27
Oyen,2.3,1904,7,45,25.4,9.4,17.4,45
Twinriver,4.6,1904,7,15,26.3,8.2,17.2,15
Kinsella,1.3,1904,7,44,23,8.4,15.7,44
Stavely,3.1,1904,7,32,24.4,6.1,15.3,32
Sangudo,1.7,1904,7,69,23.2,7.4,15.3,69
Onefour,5.4,1905,7,30,27.6,11.3,19.4,30
Mattheis,4.1,1905,7,40,26.8,10.8,18.8,40
Oyen,3.2,1905,7,51,24.9,10.2,17.5,51
Twinriver,5,1905,7,37,25.4,8.3,16.8,37
Kinsella,2.4,1905,7,63,23.4,9.5,16.4,63
Stavely,3.6,1905,7,49,24.4,6.8,15.6,49
Sangudo,2.9,1905,7,92,22.9,8.8,15.9,92
Onefour,5.5,1906,7,12,28.9,11.8,20.4,12
Mattheis,4.1,1906,7,19,29.2,11.8,20.5,19
Oyen,3.1,1906,7,26,27.2,11.3,19.2,26
Twinriver,5,1906,7,19,27.2,8.9,18.1,19
Kinsella,2.1,1906,7,68,25,11.1,18,68
Stavely,3.8,1906,7,36,26.5,8,17.2,36
Sangudo,2.8,1906,7,82,25.5,10.3,17.9,82
Onefour,3.3,1907,7,27,25,9.5,17.2,27
Mattheis,1.9,1907,7,28,25.9,9.7,17.8,28
Oyen,0.9,1907,7,44,24.3,9,16.6,44
Twinriver,3.4,1907,7,36,22.6,7,14.8,36
Kinsella,-0.1,1907,7,56,21.9,8.4,15.1,56
Stavely,2.3,1907,7,45,22.2,6.2,14.2,45
Sangudo,1.1,1907,7,86,22.3,8.1,15.2,86
Onefour,5.6,1908,7,22,29.7,11.9,20.8,22
Mattheis,4.3,1908,7,30,28.4,11.2,19.8,30
Oyen,3.2,1908,7,43,26.6,10.7,18.7,43
Twinriver,5,1908,7,30,26.7,9.3,18,30
Kinsella,1.9,1908,7,55,24.2,10.3,17.2,55
Stavely,3.8,1908,7,21,24.9,7.4,16.1,21
Sangudo,2.3,1908,7,66,23.7,9,16.4,66
Onefour,3.8,1909,7,66,25.9,11.4,18.6,66
Mattheis,2.4,1909,7,88,26.4,11.3,18.9,88
Oyen,1.6,1909,7,83,25,11,18,83
Twinriver,3.5,1909,7,84,23.9,8.3,16.1,84
Kinsella,0.2,1909,7,89,23.5,10,16.7,89
Stavely,1.8,1909,7,97,22.5,6.9,14.7,97
Sangudo,0.4,1909,7,99,22.9,8.5,15.7,99
Onefour,6.2,1910,7,24,28.9,11.5,20.2,24
Mattheis,4.6,1910,7,29,28.3,10.8,19.5,29
Oyen,3.3,1910,7,41,26.3,10,18.1,41
Twinriver,6,1910,7,15,27.2,8.8,18,15
Kinsella,2.2,1910,7,45,23.5,9.2,16.4,45
Stavely,4.5,1910,7,15,25.5,7.2,16.3,15
Sangudo,2.4,1910,7,93,22.6,8.5,15.6,93
Onefour,3.3,1911,7,27,26.1,9,17.6,27
Mattheis,2.1,1911,7,44,24.1,9.1,16.6,44
Oyen,0.9,1911,7,69,21.8,8.2,15,69
Twinriver,3,1911,7,32,22.8,6.6,14.7,32
Kinsella,0.1,1911,7,94,19.9,8,13.9,94
Stavely,1.9,1911,7,51,20.9,5.8,13.3,51
Sangudo,1.3,1911,7,115,20.9,7.8,14.3,115
Onefour,4.5,1912,7,22,24.8,9.1,17,22
Mattheis,3.5,1912,7,46,23.6,9.4,16.5,46
Oyen,2.3,1912,7,73,22.1,9,15.6,73
Twinriver,4.3,1912,7,50,21.5,6.8,14.1,50
Kinsella,1.7,1912,7,120,19.9,8.8,14.3,120
