site,MAT,year,month,ppt,Tmax,Tmin,Tave,rs.ppt
Twinriver,3.3,1929,1,15,-9.3,-20.4,-14.9,15
Kinsella,1.3,1929,1,22,-15.8,-26.8,-21.3,22
Stavely,2.4,1929,1,22,-8.6,-20.6,-14.6,22
Sangudo,1.7,1929,1,33,-12.8,-24.6,-18.7,33
Onefour,5.3,1930,1,8,-13.2,-24.4,-18.8,8
Mattheis,4.8,1930,1,5,-14.7,-24,-19.4,5
Oyen,3.8,1930,1,7,-14.9,-23.4,-19.1,7
Twinriver,5.3,1930,1,6,-10.1,-21.3,-15.7,6
Kinsella,2.8,1930,1,14,-16,-25,-20.5,14
Stavely,3.9,1930,1,19,-10.8,-22.9,-16.9,19
Sangudo,2.9,1930,1,23,-12.6,-23.5,-18.1,23
Onefour,6.5,1931,1,6,2.2,-9.7,-3.8,6
Mattheis,5.6,1931,1,2,0.4,-11.1,-5.4,2
Oyen,4.7,1931,1,1,-0.1,-11.2,-5.7,1
Twinriver,6.3,1931,1,2,5.3,-5.6,-0.2,2
Kinsella,3.6,1931,1,3,-1.5,-12.6,-7.1,3
Stavely,5,1931,1,7,4.4,-7.5,-1.5,7
Sangudo,3.3,1931,1,7,0.3,-12.8,-6.3,7
Onefour,4.4,1932,1,8,-4.9,-16.2,-10.5,8
Mattheis,3.3,1932,1,12,-8.4,-19.5,-13.9,12
Oyen,2.2,1932,1,10,-8.9,-20.4,-14.7,10
Twinriver,4.3,1932,1,12,-2.9,-13.6,-8.2,12
Kinsella,1.3,1932,1,11,-9.6,-21.6,-15.6,11
Stavely,3,1932,1,29,-3.9,-15.7,-9.8,29
Sangudo,1.3,1932,1,21,-8.4,-21.1,-14.8,21
Onefour,4.7,1933,1,10,-1.9,-13.9,-7.9,10
Mattheis,3.3,1933,1,6,-5.7,-18.5,-12.1,6
Oyen,2.3,1933,1,4,-7.1,-19.4,-13.3,4
Twinriver,4.3,1933,1,8,0.3,-10,-4.8,8
Kinsella,0.6,1933,1,19,-10.4,-22.1,-16.2,19
Stavely,3,1933,1,19,-1,-13,-7,19
Sangudo,0.6,1933,1,15,-9.2,-21.5,-15.4,15
Onefour,6.4,1934,1,11,0.4,-11.1,-5.3,11
Mattheis,5.1,1934,1,8,-2,-13.3,-7.7,8
Oyen,3.9,1934,1,9,-2.7,-14.1,-8.4,9
Twinriver,6.3,1934,1,7,3.5,-6.8,-1.6,7
Kinsella,2.8,1934,1,23,-4.3,-15.8,-10,23
Stavely,4.9,1934,1,15,2.7,-8.5,-2.9,15
Sangudo,3,1934,1,21,-1.6,-14,-7.8,21
Onefour,3.9,1935,1,24,-8.5,-21.6,-15.1,24
Mattheis,2.3,1935,1,15,-13.9,-25.7,-19.8,15
Oyen,1.1,1935,1,14,-15.6,-26.5,-21.1,14
Twinriver,4,1935,1,6,-4,-16.8,-10.4,6
Kinsella,0.6,1935,1,31,-16.4,-27.3,-21.9,31
Stavely,2.7,1935,1,43,-5.2,-18.3,-11.7,43
Sangudo,0.7,1935,1,66,-14.7,-26.2,-20.4,66
Onefour,4.4,1936,1,18,-8.9,-19.5,-14.2,18
Mattheis,2.9,1936,1,21,-13.1,-23.1,-18.1,21
Oyen,1.7,1936,1,19,-14.3,-24.4,-19.3,19
Twinriver,4.3,1936,1,14,-5.1,-15.5,-10.3,14
Kinsella,1,1936,1,19,-15.6,-25.3,-20.5,19
Stavely,3,1936,1,29,-5.7,-16.5,-11.1,29
Sangudo,1,1936,1,61,-13.5,-23.7,-18.6,61
Onefour,3.9,1937,1,28,-15.5,-27.8,-21.6,28
Mattheis,2.9,1937,1,12,-16.3,-28.2,-22.3,12
Oyen,2.1,1937,1,12,-16.7,-28.8,-22.7,12
Twinriver,3.7,1937,1,23,-12.3,-23.5,-17.9,23
Kinsella,1.3,1937,1,17,-16.6,-28,-22.3,17
Stavely,2.4,1937,1,38,-11.8,-24.5,-18.2,38
Sangudo,1.5,1937,1,30,-12.6,-25.5,-19,30
Onefour,5.4,1938,1,13,-0.4,-11.9,-6.2,13
Mattheis,4.3,1938,1,15,-4.8,-15.2,-10,15
Oyen,3.6,1938,1,16,-5.8,-15.6,-10.7,16
Twinriver,5.2,1938,1,10,2.1,-8.6,-3.2,10
Kinsella,2.9,1938,1,14,-6.7,-16.9,-11.8,14
Stavely,4,1938,1,22,0.1,-11.1,-5.5,22
Sangudo,3.1,1938,1,13,-3.9,-15.6,-9.8,13
Onefour,6,1939,1,17,0.7,-10.5,-4.9,17
Mattheis,4.4,1939,1,16,-2.5,-13.7,-8.1,16
Oyen,3.3,1939,1,13,-3.4,-14.3,-8.8,13
Twinriver,6.1,1939,1,7,3.2,-6.7,-1.8,7
Kinsella,2.5,1939,1,14,-5,-15.6,-10.3,14
Stavely,4.6,1939,1,12,1.6,-8.8,-3.6,12
